id,title,views,date
0,Cher,1099085.0,20140101
1,Java,284776.0,20140102
2,Java,285061.0,20140103
3,Java,295213.0,20140104
4,Impossible_colors,92840.0,20140105
5,List_of_Doctor_Who_serials,267043.0,20140106
6,Zora_Neale_Hurston,401432.0,20140107
7,Alliance_(Firefly),454699.0,20140108
8,Simone_de_Beauvoir,400039.0,20140109
9,The_Godfather,768991.0,20140110
10,Java,295096.0,20140111
11,Java,294377.0,20140112
12,Climatic_Research_Unit_email_controversy,328639.0,20140113
13,Climatic_Research_Unit_email_controversy,342907.0,20140114
14,Climatic_Research_Unit_email_controversy,400464.0,20140115
15,Dian_Fossey,2441615.0,20140116
16,Space_Ghost_Coast_to_Coast,880873.0,20140117
17,Climatic_Research_Unit_email_controversy,356454.0,20140118
18,Kuznetsov-class_aircraft_carrier,495710.0,20140119
19,Climatic_Research_Unit_email_controversy,369193.0,20140120
20,Climatic_Research_Unit_email_controversy,346442.0,20140121
21,Sugarloaf_Key_bat_tower,415612.0,20140122
22,Java,304833.0,20140123
23,Java,302371.0,20140124
24,Java,301982.0,20140125
25,Java,299081.0,20140126
26,Daft_Punk,774663.0,20140127
27,Pete_Seeger,316600.0,20140128
28,Climatic_Research_Unit_email_controversy,236884.0,20140129
29,Climatic_Research_Unit_email_controversy,205035.0,20140130
30,Jean_Calvin,284039.0,20140131
31,Harriet_Tubman,353533.0,20140201
32,Philip_Seymour_Hoffman,1757397.0,20140202
33,Philip_Seymour_Hoffman,1612999.0,20140203
34,Philip_Seymour_Hoffman,506395.0,20140204
35,Philip_Seymour_Hoffman,262986.0,20140205
36,Marcin_Ignaczak,470754.0,20140206
37,Patrick_Roy,397948.0,20140207
38,2014_Winter_Olympics,271496.0,20140208
39,33_Thomas_Street,277408.0,20140209
40,Kelsey_Grammer,258243.0,20140210
41,Shirley_Temple,847123.0,20140211
42,Shirley_Temple,380170.0,20140212
43,Sarojini_Naidu,451005.0,20140213
44,Valentine's_Day,649905.0,20140214
45,Ellen_Page,386942.0,20140215
46,Martine_Dalmas,356361.0,20140216
47,Bode_Miller,259910.0,20140217
48,Meryl_Davis,171789.0,20140218
49,UTF-8,810734.0,20140219
50,Power_nap,974206.0,20140220
51,Playboy_Bunny,373519.0,20140221
52,Vigilante,197472.0,20140222
53,0R,273052.0,20140223
54,Harold_Ramis,471015.0,20140224
55,Harold_Ramis,416765.0,20140225
56,"On_the_Internet,_nobody_knows_you're_a_dog",206856.0,20140226
57,John_Steinbeck,154319.0,20140227
58,Trojan_War_(film),357364.0,20140228
59,Crimea,235053.0,20140301
60,Crimea,279112.0,20140302
61,Jared_Leto,712694.0,20140303
62,Zofia_Palak,290070.0,20140304
63,Ash_Wednesday,353012.0,20140305
64,Crimea,173649.0,20140306
65,International_Women's_Day,172281.0,20140307
66,Malaysia_Airlines_Flight_370,270091.0,20140308
67,The_Sum_of_All_Fears_(film),574311.0,20140309
68,Clonetroopers,354528.0,20140310
69,Flag_of_Bikini_Atoll,319377.0,20140311
70,A/B_testing,1689980.0,20140312
71,Malaysia_Airlines_Flight_370,202880.0,20140313
72,YouTube,1187252.0,20140314
73,Malaysia_Airlines_Flight_370,204213.0,20140315
74,Malaysia_Airlines_Flight_370,188934.0,20140316
